chunky_result_avg_impr,chunky_result_step_conf,local_result_nonglobal_conf,chunky_result_fit_conf,chunky_result_nonglobal_conf,chunky_result_nonglobal_fit,threshold,dw_result_scan_conf,local_result_nonglobal_fit,dw_result_step_conf,chunky_result_avg_steps,dw_result_nonglobal_fit,Kb,Kw,local_result_step_conf,dw_result_impr_conf,dw_result_nonglobal_conf,local_result_avg_scans,dw_result_fit_conf,local_result_avg_impr,dw_result_avg_steps,local_result_pct_global,ss_prob,dw_result_norm_fit,chunky_result_pct_global,local_result_scan_conf,dw_result_avg_scans,chunky_result_avg_scans,chunky_result_scan_conf,local_result_avg_steps,chunky_result_norm_fit,local_result_norm_fit,P,chunky_result_impr_conf,local_result_impr_conf,dw_result_pct_global,D,dw_result_avg_impr,local_result_fit_conf
0.247969235134,0.0336615738538,nan,0.0,nan,nan,4,0.0186336647369,nan,0.0413883681869,13.9695,0.97735406183,0.0,0.0,0.0336615738538,0.00192251976834,0.00693648085434,21.2201,2.87003326088e-05,0.247969235134,6.6855,1.0,0.75,0.999941120561,1.0,0.121079894053,30.3302,87.88,0.167157782276,6.9695,1.0,1.0,4,0.00192337604666,0.00192337604666,0.9974,3,0.247910355695,0.0
0.271841232574,0.052872751784,0.00109735139449,0.000993774319937,0.00106031531693,0.931157936474,4,0.017992555027,0.929357692202,0.0455426682132,14.9428,0.928509033662,0.25,0.0,0.0478450477757,0.00221939761215,0.0010540852202,21.1353,0.00102053165544,0.26955424341,5.6833,0.2191,0.75,0.940791181679,0.2319,0.206612284752,30.1485,91.7679,0.254993616248,6.5523,0.947122411005,0.944835421841,4,0.00223569795886,0.0022813945626,0.1718,3,0.265510003248,0.00103068878588
0.267868490282,0.0602659657673,0.00124000794491,0.00116024414578,0.00112871421223,0.902643300653,4,0.016568170036,0.891107789802,0.0414877416478,15.2859,0.895329403614,0.5,0.0,0.0435551771148,0.00228390772055,0.00115015643615,17.3336,0.00118550046029,0.255750800696,4.5312,0.066,0.75,0.90153636998,0.0798,0.20310149766,30.0197,91.9379,0.275376253927,5.4284,0.910412365261,0.898294675675,4,0.00229058875438,0.00232642529204,0.0593,3,0.258992495,0.00127364034111
0.248702557746,0.0569766898466,0.00119764996702,0.00116056664486,0.00111754846252,0.882272209883,4,0.0158520968029,0.866762817744,0.037352895534,14.2178,0.879618860549,0.75,0.0,0.0379892736102,0.00225871873969,0.00108386257142,13.8346,0.00112628607404,0.232281876637,3.8692,0.0255,0.75,0.883278447189,0.0366,0.178845364997,29.9666,87.5741,0.252079905834,4.5333,0.886581047001,0.870160365892,4,0.00229601852832,0.00231251686628,0.0304,3,0.245399957934,0.001237586207
0.228152155854,0.0541929883016,0.00115680425527,0.00112721420847,0.00109438421048,0.864559649894,4,0.0155767248568,0.850202758937,0.0349817832596,13.588,0.869576037279,1.0,0.0,0.03410852636,0.00228561926407,0.0010340923014,11.6104,0.00106809169677,0.213066272809,3.4607,0.0096,0.75,0.87174107506,0.016,0.160535911739,29.9341,85.0191,0.242214921296,3.9472,0.866726695496,0.851640812451,4,0.00233336798437,0.00232403528486,0.0166,3,0.233166535418,0.00118092755971
0.26243601606,0.0402930349007,0.000816234119645,0.000511326144899,0.000765693932612,0.964879282523,4,0.019978990225,0.961643383929,0.0429174975965,14.317,0.975532054412,0.0,0.25,0.0403429691378,0.00205990387459,0.00747354061182,21.4491,3.91006454947e-05,0.259303541101,6.9075,0.4661,0.75,0.999911915396,0.5061,0.157625071816,30.4956,89.411,0.197444000579,6.8406,0.982653877638,0.97952140268,4,0.00206746481812,0.00206753434867,0.9964,3,0.279694053817,0.000574935109542
0.268535289432,0.0585868554899,0.00124279002742,0.00116924221779,0.00117168631517,0.912840081105,4,0.0174877600721,0.906923754363,0.0456495311397,15.2289,0.911393653139,0.25,0.25,0.0480095613304,0.00225823411791,0.00114024085323,19.8927,0.00115115626488,0.262535534361,5.3177,0.1288,0.75,0.921220097006,0.1385,0.2107718252,30.1182,92.7689,0.277361787205,6.1667,0.924911729872,0.918911974801,4,0.00228343897428,0.00231389919904,0.1109,3,0.264843656566,0.00124327325181
0.268893699865,0.0595902552767,0.00122919311966,0.00114645223638,0.00111037403111,0.902282485499,4,0.0163013630477,0.884784679071,0.0407869796386,15.4304,0.889535847156,0.5,0.25,0.0430465581247,0.00226417770911,0.0011398316343,16.7296,0.00118288713981,0.250290000229,4.4092,0.0591,0.75,0.895313122349,0.081,0.20156060325,29.9961,92.4092,0.270320445086,5.2651,0.910197604174,0.891593904538,4,0.00227314552617,0.00231629644467,0.0523,3,0.25400921804,0.00127325743776
0.236747806019,0.0558424989082,0.00121009085964,0.0011950834739,0.0011535499883,0.868117268684,4,0.015485692508,0.857310773318,0.0366697830071,13.9265,0.869523719224,0.75,0.25,0.0368005922042,0.00222332095506,0.00109228961993,13.1581,0.00113410854562,0.225499107554,3.6973,0.0201,0.75,0.87253772131,0.0251,0.173512658943,29.9452,86.4556,0.251152578581,4.3513,0.87142752524,0.860178826775,4,0.00227338024521,0.00229780408807,0.0231,3,0.237858002089,0.00124904221617
0.223085477149,0.0524839617355,0.00116147523996,0.00113023004219,0.00110332354328,0.859322269956,4,0.0151634529211,0.842849726087,0.0339112222538,13.1131,0.866341806827,1.0,0.25,0.0327972387699,0.0022711856795,0.00103586498372,10.7852,0.0010602848849,0.206037272955,3.3007,0.0069,0.75,0.867812046952,0.0118,0.154520354122,29.9321,83.3531,0.233971492542,3.7641,0.860982267171,0.843934062977,4,0.00231877245873,0.00228889354459,0.011,3,0.22991525693,0.00118130701149
