dw_result_impr_conf,Kb,local_result_fit_conf,dw_result_scan_conf,dw_result_step_conf,local_result_step_conf,dw_result_avg_impr,ss_prob,chunky_result_fit_conf,threshold,dw_result_norm_fit,local_result_avg_steps,chunky_result_avg_impr,P,dw_result_nonglobal_conf,dw_result_nonglobal_fit,chunky_result_nonglobal_conf,chunky_result_nonglobal_fit,chunky_result_impr_conf,local_result_impr_conf,chunky_result_avg_scans,dw_result_avg_steps,chunky_result_pct_global,Kw,local_result_pct_global,local_result_norm_fit,local_result_nonglobal_fit,chunky_result_scan_conf,chunky_result_avg_steps,chunky_result_norm_fit,chunky_result_step_conf,local_result_avg_impr,dw_result_pct_global,D,dw_result_avg_scans,local_result_nonglobal_conf,dw_result_fit_conf,local_result_avg_scans,local_result_scan_conf
0.00214397623149,0.25,0.00124221886224,0.0640386591624,0.0381023382351,0.044809579634,0.249844424825,0.0,0.0011918148173,4,0.899782477008,5.6625,0.258616527172,3,0.001089914499,0.893374270675,0.00115692065361,0.89995030564,0.00227380317864,0.00229415147596,90.2924,4.8523,0.086,0.75,0.0855,0.903968664174,0.89499033808,0.270838087823,14.7911,0.908554579355,0.0596453684471,0.254030611992,0.0601,4,46.2068,0.00120377471757,0.00113848109211,18.2713,0.205611246714
0.00218524138893,0.25,0.00125274476639,0.0607158040076,0.0402384761243,0.0446938076514,0.25979698876,0.1,0.00119822609417,4,0.908194086305,5.6542,0.259938959554,3,0.0010605788034,0.900632196455,0.00116233920592,0.899447188568,0.00228434402145,0.00229889348149,90.1598,5.0112,0.0884,0.75,0.0884,0.903840441405,0.894515622427,0.269572210258,14.7456,0.908336057098,0.0585395430817,0.25544334386,0.0761,4,46.2385,0.00121407368283,0.00110763066059,18.0183,0.201613280759
0.0021998814142,0.25,0.00121523146796,0.0570962799681,0.0417893431091,0.0452611762784,0.264442285851,0.2,0.00118602181247,4,0.912328796081,5.7033,0.259559838572,3,0.00103056172763,0.904508001395,0.00114875846444,0.899135079339,0.00226406866595,0.0023097201912,90.529,5.1473,0.0824,0.75,0.0821,0.903659082285,0.895042033212,0.269845912818,14.8126,0.907446348801,0.0585730058525,0.255772572056,0.0819,4,46.2972,0.00117228244616,0.00107639563661,18.2585,0.204824768999
0.0022153075774,0.25,0.00123425596176,0.0536314572581,0.0425040183279,0.0452113865626,0.26716857983,0.3,0.00118770481932,4,0.916543473052,5.684,0.258114850512,3,0.00103261552764,0.907455614384,0.00114895521648,0.898895894791,0.00227226077008,0.00228990024546,90.4154,5.1944,0.085,0.75,0.0868,0.903516415465,0.894345614832,0.269799412938,14.8114,0.907489743734,0.0590536135507,0.254141522243,0.0982,4,46.3185,0.00119127216544,0.00107634975207,18.2062,0.205913707222
0.00219854659527,0.25,0.00122771331644,0.0524699149462,0.0432074571306,0.0444671431842,0.273584032632,0.4,0.00120267654802,4,0.920175800695,5.6881,0.261450359514,3,0.0010085047066,0.911237407645,0.00116608017755,0.899013977132,0.00227464305243,0.00229207713113,90.6268,5.2868,0.0894,0.75,0.082,0.903689289666,0.895086372185,0.273952109591,14.8592,0.908042127576,0.0592443946974,0.257097521603,0.1007,4,46.277,0.00118780024271,0.00104721607153,18.226,0.201698211257
0.00225388866185,0.25,0.00123023831798,0.0505087122992,0.0438244487703,0.0453350343468,0.273907082032,0.5,0.00120801455625,4,0.92144513086,5.6847,0.260361258567,3,0.00100090867042,0.911934003207,0.00117534593848,0.899343505351,0.00231786101056,0.00233489551889,90.5675,5.2983,0.085,0.75,0.0839,0.902858854076,0.893962290226,0.270187591361,14.8393,0.907899307396,0.0591694490709,0.255320805248,0.108,4,46.2827,0.00118650522024,0.00104122165071,18.2289,0.205646379406
0.00224100506097,0.25,0.00124170227948,0.0487307626779,0.0445686753415,0.044999197082,0.274666011474,0.6,0.00119863178486,4,0.924259167291,5.6506,0.258456047361,3,0.00100710888993,0.914359076538,0.00116359847983,0.899397377655,0.00227973789534,0.00231124006885,90.3296,5.3182,0.086,0.75,0.0846,0.903062975896,0.894104190404,0.267909690443,14.7908,0.908049203177,0.0587091258248,0.253469820079,0.1156,4,46.3023,0.00120076409574,0.00103989919163,18.1006,0.204318463548
0.00223939461382,0.25,0.00122437045706,0.0474474872709,0.0453181318875,0.0452082844819,0.278598938729,0.7,0.0011843048525,4,0.924670391191,5.6897,0.261804467854,3,0.000993364640011,0.914679342158,0.00114791872777,0.89958133891,0.0022784880179,0.00229998920978,90.4465,5.3662,0.0826,0.75,0.0829,0.902948026932,0.894175146584,0.266660752141,14.8465,0.907875920316,0.0586289165682,0.25687657447,0.1171,4,46.3258,0.00118044332564,0.00102875522943,18.1849,0.204566545726
0.00223756645477,0.25,0.00123895991703,0.0463524085582,0.0453043794288,0.0445674128308,0.280626246824,0.8,0.00119034575411,4,0.92634814174,5.6804,0.261550058951,3,0.000991409426706,0.915884127158,0.00115170443654,0.898691089115,0.00227940380671,0.00231283501766,90.5816,5.3871,0.0847,0.75,0.0865,0.903631321391,0.89450609895,0.27157006634,14.8402,0.907271953867,0.059139536441,0.257909426475,0.1244,4,46.3409,0.00119776720865,0.00102451815555,18.1571,0.203652817346
0.00222765429737,0.25,0.00125050668981,0.0458172821315,0.0455745460285,0.0450186170414,0.279238402383,0.9,0.00118886727772,4,0.926856318431,5.6753,0.260139972017,3,0.000996451560177,0.916349860968,0.00115199423564,0.899288009679,0.00227199661709,0.00231273125769,90.4505,5.3529,0.0841,0.75,0.0855,0.902958096233,0.89388528839,0.274652702657,14.7959,0.907757888065,0.0593683434379,0.255340180185,0.1256,4,46.3248,0.00121053568627,0.00102683314585,18.1678,0.205039950795
