dw_result_avg_steps,dw_result_avg_scans,D,dw_result_scan_conf,Kw,dw_result_pct_global,local_result_fit_conf,chunky_result_step_conf,chunky_result_scan_conf,Kb,dw_result_impr_conf,chunky_result_nonglobal_fit,local_result_avg_impr,chunky_result_avg_scans,chunky_result_nonglobal_conf,local_result_pct_global,local_result_avg_steps,chunky_result_avg_steps,local_result_avg_scans,chunky_result_pct_global,threshold,local_result_nonglobal_conf,local_result_norm_fit,local_result_impr_conf,P,chunky_result_fit_conf,chunky_result_avg_impr,dw_result_step_conf,dw_result_nonglobal_fit,chunky_result_impr_conf,local_result_scan_conf,chunky_result_norm_fit,dw_result_nonglobal_conf,dw_result_avg_impr,dw_result_norm_fit,local_result_nonglobal_fit,dw_result_fit_conf,local_result_step_conf,ss_prob
4.2688,22.5305,3,0.0267106166698,0.75,0.2596,0.00141039990762,0.0452986058293,0.162134450017,0.25,0.00253922414046,0.909855336486,0.256190774622,52.2064,0.00136105940286,0.1866,4.7867,11.0401,12.5973,0.2481,3,0.00145722208714,0.91857656513,0.00263481475335,3,0.00127657874539,0.269834436995,0.03858458851,0.919097072302,0.00259995966208,0.14542673656,0.932220227504,0.00123473975942,0.277713681823,0.940099472332,0.899897424552,0.00114850322737,0.0401865440215,0.75
4.2666,22.9771,3,0.016276489661,0.75,0.2611,0.00143667715095,0.0444936385395,0.160038703458,0.25,0.00260458638721,0.910803748458,0.255918132757,51.9177,0.00134615241358,0.1941,4.7484,10.9879,12.5016,0.2342,4,0.00149065235926,0.918083051994,0.00268044535254,3,0.0012692057867,0.269528591332,0.0394821122629,0.91971836044,0.00264225148403,0.145947902384,0.931693510569,0.00124431259322,0.278514977292,0.940679896529,0.898353458237,0.0011502253311,0.0401650010919,0.75
4.2943,23.0408,3,0.0145432816854,0.75,0.2724,0.00140892077576,0.0454284287127,0.161469852067,0.25,0.0025646914459,0.911053538668,0.255043094387,52.0014,0.0013275121655,0.1968,4.7849,10.9813,12.611,0.2393,5,0.00145754620407,0.919200589144,0.00263585954375,3,0.00125420574427,0.268180932107,0.0396344091397,0.919908856879,0.00258094650706,0.148111807709,0.932338426865,0.00126314782689,0.277568189508,0.941725684265,0.899403123934,0.00115459437112,0.0404344778532,0.75
4.2876,23.0484,3,0.0143373870811,0.75,0.2621,0.00140375057881,0.0448311574224,0.16239929146,0.25,0.00256828627851,0.910482519312,0.255555038306,52.2445,0.00134906292335,0.1911,4.7439,11.0466,12.4835,0.2375,6,0.00145009861145,0.919056909879,0.00264341220526,3,0.00127107327529,0.268241049403,0.039395228548,0.919178251422,0.00261805987758,0.146364966892,0.931742920975,0.00124881390419,0.276859760152,0.940361631724,0.89993436751,0.0011552003863,0.0402348393899,0.75
1.8399,4.0,4,0.0,0.75,0.0035,0.00123540860162,0.0583435477097,0.26585451305,0.25,0.00203839781542,0.899333003676,0.256082630568,90.3809,0.00115825533017,0.0855,5.6725,14.8029,18.1108,0.0851,0,0.00119393838018,0.90355632943,0.00232492644967,3,0.00119417313933,0.260426066201,0.0216838849758,0.783818175022,0.00226500336571,0.202121762878,0.907899765063,0.00155579912755,0.137101112548,0.784574811409,0.89453945263,0.00157041957275,0.0451803589348,0.75
3.9722,20.9207,4,0.234174186094,0.75,0.0486,0.00123926716716,0.059082434516,0.270892529945,0.25,0.0019942458236,0.89928746199,0.255245951936,90.3499,0.00115856407089,0.0848,5.6744,14.7766,18.0643,0.0824,1,0.00119638651993,0.902713823165,0.00231581538594,3,0.00119365198387,0.260118303894,0.0274144444241,0.870495096333,0.00227764021453,0.204841731659,0.907586175122,0.0014044749277,0.229321163423,0.876789034652,0.893699544542,0.00144339739319,0.0451545902267,0.75
5.0578,38.315,4,0.158905279113,0.75,0.1002,0.00124301063991,0.0591491268015,0.272412774397,0.25,0.00219533069051,0.899356511102,0.253556153247,90.3807,0.00116687482195,0.081,5.6598,14.8111,18.0303,0.0855,2,0.00120312485771,0.902397348854,0.00229598174378,3,0.0012012401614,0.259120333795,0.0401829877745,0.908935976362,0.00226872033235,0.202729527077,0.907961529403,0.00103288197519,0.269219395923,0.918060591531,0.893794721278,0.00107284310319,0.0444569711959,0.75
5.2695,44.2729,4,0.0890761931691,0.75,0.1216,0.0012231620366,0.0583030841784,0.267207228573,0.25,0.00222552332556,0.899646548759,0.256355871142,90.5259,0.00114823986758,0.085,5.6718,14.8299,18.1703,0.0872,3,0.00118135038106,0.90417494526,0.00230002049127,3,0.00118595638676,0.260578295589,0.0431127642662,0.914788248189,0.00225282130552,0.199693764647,0.908397369707,0.000997257191733,0.277330923091,0.925149997209,0.895273164219,0.00103214029963,0.0443003702837,0.75
5.3511,46.3199,4,0.047241007262,0.75,0.1229,0.00123378959695,0.0587914281115,0.266209393288,0.25,0.00225441822563,0.898930861913,0.256481181257,90.4408,0.00116172928278,0.0838,5.7277,14.8464,18.352,0.0832,4,0.00119203331257,0.903168837265,0.00232681527645,3,0.00119737959694,0.260652158193,0.0452669465042,0.915052971008,0.0022740711534,0.202057100804,0.907339814201,0.0010063876441,0.278805304862,0.925492960871,0.894312199591,0.00103826382683,0.0451536035625,0.75
5.3809,46.9486,4,0.0247384209343,0.75,0.1281,0.00121937515973,0.0595218377739,0.272189921517,0.25,0.00225651181005,0.899081009719,0.256465795734,90.4583,0.00115904447867,0.0832,5.6773,14.8525,18.1337,0.0874,5,0.00117646410418,0.903667187585,0.00232103835167,3,0.0011962022417,0.260699937619,0.0456396349263,0.914534175195,0.00230342585116,0.202763864902,0.90790132947,0.00100965621423,0.278280955502,0.925482347352,0.894924942828,0.00104325475384,0.0448711435579,0.75
5.3407,47.0888,4,0.0146928129429,0.75,0.1268,0.00123220258444,0.0588925333124,0.268133519209,0.25,0.00223907093322,0.898952515422,0.253973469865,90.1861,0.0011411720598,0.0803,5.6637,14.7585,18.2151,0.0828,6,0.00119202101917,0.902870236712,0.00229045745515,3,0.00118044287891,0.258422480298,0.0452694701526,0.914556065094,0.00225591747973,0.204204815753,0.907319247145,0.00101627899011,0.276493589193,0.92539035604,0.894389732208,0.00104787697187,0.0451308361876,0.75
1.7755,4.0,5,0.0,0.75,0.0001,0.00111924600114,0.0630753922369,0.348452808493,0.25,0.00182138233213,0.883981241703,0.24759829815,126.994,0.00106368441099,0.0192,6.0008,16.3772,21.9608,0.0234,0,0.00109182430486,0.881297126714,0.00207542648392,3,0.00109419678913,0.252997252083,0.0208716669744,0.757813157466,0.00205140298659,0.257587990479,0.886696080647,0.00138630881721,0.124138547586,0.75783737615,0.878973416308,0.00138698267957,0.0469302835281,0.75
4.2633,35.9242,5,0.501543385314,0.75,0.014,0.00112616500603,0.0622435720287,0.344815871019,0.25,0.00181824043485,0.885789543102,0.246142476677,126.7262,0.00106191727138,0.0197,5.9915,16.3256,22.035,0.0247,1,0.00109800277221,0.880813663626,0.0020631530862,3,0.00109241419334,0.253939354437,0.028729274625,0.855052095661,0.0020312234585,0.258056118522,0.888610541387,0.0013720077678,0.222410179372,0.857081366322,0.878418508239,0.00139337205239,0.0468131898937,0.75
5.6259,71.3118,5,0.384014002886,0.75,0.0282,0.00112496583961,0.0626952445753,0.344352282536,0.25,0.00193916746882,0.884809145689,0.247034204811,126.7231,0.00106145238556,0.0197,6.0141,16.323,22.1515,0.0217,2,0.00109705625496,0.881196200623,0.00206520837238,3,0.00108928018552,0.253146791415,0.0418001277303,0.898957902982,0.00204917932995,0.261677707112,0.887308787228,0.000975561146498,0.267645294305,0.901807290118,0.878808732657,0.00100313875572,0.0471177914855,0.75
5.8324,85.921,5,0.239581287538,0.75,0.0378,0.00113900636628,0.0622727222475,0.345326524988,0.25,0.00200420250255,0.884591953828,0.247988877963,126.506,0.00106494610834,0.0204,6.0017,16.2819,22.0646,0.0245,3,0.00111126447285,0.881524486625,0.00210756594061,3,0.00109613450441,0.253883842297,0.0459161422584,0.905046351799,0.00206332963322,0.25742996829,0.88741945096,0.000927490326996,0.275099991038,0.908635599701,0.879057254619,0.000960424730617,0.047281380224,0.75
5.9277,91.6527,5,0.148689122689,0.75,0.0423,0.0011326139804,0.063069958425,0.346730332951,0.25,0.00201325288686,0.88409078826,0.2468592676,126.7233,0.00106857929304,0.0193,5.9998,16.3049,21.8408,0.022,4,0.00110521929439,0.880481211939,0.00209863328668,3,0.00109691600534,0.253018846579,0.0477260915521,0.906336360129,0.00205746658372,0.254099381801,0.886640790919,0.000926494665801,0.276676387756,0.910298332096,0.87812910364,0.000961167090489,0.0473418879734,0.75
6.0108,94.0616,5,0.0822007222005,0.75,0.0396,0.00113052749344,0.0623396598641,0.346543703515,0.25,0.00199748700763,0.884536465446,0.248319545377,126.7065,0.00107546354147,0.0206,6.0187,16.3449,22.0881,0.0205,5,0.00110154972138,0.881140205882,0.00207975373481,3,0.00110114945868,0.254082807399,0.0478370922308,0.908350239386,0.0020502314659,0.259220060716,0.886903467904,0.000907652028515,0.279158909401,0.911979569906,0.878640193876,0.000939469609311,0.0472832214238,0.75
5.9505,94.8453,5,0.0422381667001,0.75,0.0411,0.00113540781845,0.0621583352851,0.346542073755,0.25,0.002003705313,0.884885630554,0.246059810813,127.0329,0.00107004760154,0.0186,5.9929,16.3913,21.9152,0.0218,6,0.00110859957978,0.879655229794,0.00206763068057,3,0.00109735352038,0.253799704827,0.0483092647945,0.907574622482,0.00202947495662,0.259504515877,0.887395123808,0.000919815930668,0.277777886517,0.911373305498,0.877374393513,0.000952513644963,0.0473006843934,0.75
